"Country","Year","Number of physicians","Number of nursing and midwifery personnel","Number of dentistry personnel","Number of pharmaceutical personnel","Number of laboratory health workers","Number of environment and public health workers","Number of community and traditional health workers","Number of other health workers","Number of health management &amp; support workers"
"Afghanistan"," 2013","9184","","124","1607","","","","16382",""
"Afghanistan"," 2012","7521","","109","845","","","","13528",""
"Afghanistan"," 2011","7584","","104","836","","","","12233",""
"Afghanistan"," 2010","6901","","103","814","","","","12163",""
"Afghanistan"," 2009","6037","17257","107","847","","","","12344",""
"Afghanistan"," 2008","4834","13780","382","829","","","","12113",""
"Afghanistan"," 2007","4723","13430","311","830","","","","",""
"Afghanistan"," 2006","4220","11631","337","830","","","","",""
"Afghanistan"," 2005","","14930","900","900","","","","",""
"Afghanistan"," 2001","4104","4752","630","525","","","","",""
"Albania"," 2013","3709","12455","","2441","","","","",""
"Albania"," 2012","3696","12878","","","","","","",""
"Albania"," 2011","3578","","","1388","","","","",""
"Albania"," 2010","3640","","","1324","","","","",""
"Albania"," 2009","3656","12455","","1206","","","","",""
"Algeria"," 2007","40857","65919","11010","8232","9888","2429","993","112252","948"
"Algeria"," 2005","33952","","9022","6104","","","","99158","61593"
"Algeria"," 2002","35368","69749","9553","6333","8838","2534","1062","5654","60316"
"Andorra"," 2010","272","324","59","78","19","","","233",""
"Andorra"," 2003","244","215","44","68","","","","",""
"Angola"," 2009","2956","29592","","","","","","5435",""
"Angola"," 2004","1165","18485","222","919","2029","","","254","256"
"Angola"," 1997","881","13627","2","24","","","","",""
"Antigua and Barbuda"," 1999","12","233","","","","","","",""
"Antigua and Barbuda"," 1997","","","13","","","","","",""
"Argentina"," 2013","160041","","","","","","","",""
"Argentina"," 2004","122623","18685","35592","19510","19629","","","79533",""
"Argentina"," 2001","121076","16600","35944","21177","19774","","","71417",""
"Argentina"," 1998","108800","29000","28900","15300","","","","",""
"Argentina"," 1994","","74000","","","","","","",""
"Argentina"," 1992","88800","69000","21900","10500","7500","1000","","106500","95000"
"Argentina"," 1989","","22400","","","","","","",""
"Argentina"," 1988","","38938","","","","","","",""
"Argentina"," 1979","","40836","","","","","","",""
"Argentina"," 1969","","22976","","","","","","",""
"Armenia"," 2013","8412","15070","1215","148","","","","5236",""
"Armenia"," 2012","8355","15254","1290","125","","","","5249",""
"Armenia"," 2011","8249","15242","1297","121","","","","5222",""
"Armenia"," 2010","8177","15076","1257","123","","","","5082",""
"Armenia"," 2009","7994","14960","1245","110","","","","5024",""
"Australia"," 2012","","","","23294","","","","14566",""
"Australia"," 2011","73980","240716","12154","24636","","","","16870",""
"Australia"," 2010","81639","","","19237","","","","20365",""
"Australia"," 2009","62800","201300","14500","21800","","","","96800",""
"Australia"," 2006","55065","222133","29624","15339","10477","","1012","212780","1954"
"Australia"," 2001","47875","187837","21296","13956","8326","","3812","38339","488313"
"Australia"," 1996","46043","189289","23318","12311","6513","","708","122141",""
"Austria"," 2003","27413","76161","4037","4869","","","","",""
"Azerbaijan"," 2013","32434","62336","2452","1951","","","","320",""
"Azerbaijan"," 2012","32335","63002","2461","1668","","","","328",""
"Azerbaijan"," 2011","31441","63653","2401","1657","","","","324",""
"Azerbaijan"," 2010","33085","66401","2467","1831","","","","315",""
"Azerbaijan"," 2009","32798","72356","2457","1652","","","","304",""
"Bahamas"," 2008","947","1391","115","160","171","","","143",""
"Bahamas"," 1998","312","1323","21","","","","","",""
"Bahrain"," 2012","1244","3224","330","205","420","","","345",""
"Bahrain"," 2011","1208","3192","308","193","422","","","351",""
"Bahrain"," 2010","1178","3052","294","196","430","","","350",""
